货物全称,一级分类,二级分类,三级分类
钢板taiwei2,钢铁,钢 材、合金钢材,板材
运动鞋,轻工、医药产品,针织、纺织、皮毛及制品,鞋帽
饮料15968181159681801596718115975920,轻工、医药产品,饮食品,饮料、果菜汁
饮料15977158,轻工、医药产品,饮食品,饮料、果菜汁
55克胶板印刷纸870,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
饮料1597907615978748,轻工、医药产品,饮食品,饮料、果菜汁
水15976885,轻工、医药产品,饮食品,饮料、果菜汁
牧草,农、林、牧、渔业产品,竹、木、藤、花、草,花草
70克胶板印刷纸890,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
饮料15976880,轻工、医药产品,饮食品,饮料、果菜汁
饮料15986039,轻工、医药产品,饮食品,饮料、果菜汁
饮料15979079,轻工、医药产品,饮食品,饮料、果菜汁
饮料15987329159872041597724215986067,轻工、医药产品,饮食品,饮料、果菜汁
保健品,轻工、医药产品,饮食品,其它未列名饮食及调味食品
70克胶板印刷纸870,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
饮料15988165,轻工、医药产品,饮食品,饮料、果菜汁
饮料1597724315994934,轻工、医药产品,饮食品,饮料、果菜汁
饮料1598603415986035,轻工、医药产品,饮食品,饮料、果菜汁
L04生铁,钢铁,生铁、铁合金、非合金钢,生铁
劲酒,轻工、医药产品,饮食品,酒（白酒、啤酒、果酒类）
饮料15997745,轻工、医药产品,饮食品,饮料、果菜汁
光纤,机械设备、电器,电子、电讯设备及器材,电子、光、磁、超声波装置的元器件、零件、附件
饮料1598601915986018,轻工、医药产品,饮食品,饮料、果菜汁
饮料1599602315997216,轻工、医药产品,饮食品,饮料、果菜汁
饮料15987320,轻工、医药产品,饮食品,饮料、果菜汁
饮料15996024,轻工、医药产品,饮食品,饮料、果菜汁
饮料15977241,轻工、医药产品,饮食品,饮料、果菜汁
饮料15987282,轻工、医药产品,饮食品,饮料、果菜汁
饮料16014225,轻工、医药产品,饮食品,饮料、果菜汁
饮料159976801599767915986037,轻工、医药产品,饮食品,饮料、果菜汁
电气配件,机械设备、电器,电子、电讯设备及器材,电子、光、磁、超声波装置的元器件、零件、附件
L08生铁,钢铁,生铁、铁合金、非合金钢,生铁
70克精制轻量涂布纸520,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克精制轻量涂布纸875x1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克胶版印刷纸710x1000,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
饮料16020140,轻工、医药产品,饮食品,饮料、果菜汁
饮料16020141,轻工、医药产品,饮食品,饮料、果菜汁
55克精制轻量涂布纸1040x720,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克精制轻量涂布纸1015x720,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
饮料16022124,轻工、医药产品,饮食品,饮料、果菜汁
负荷开关,机械设备、电器,电子、电讯设备及器材,电子、光、磁、超声波装置的元器件、零件、附件
饮料16023105,轻工、医药产品,饮食品,饮料、果菜汁
饮料160221041603163816023410,轻工、医药产品,饮食品,饮料、果菜汁
58克精制轻量涂布纸1010X695,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
角槽,钢铁,钢 材、合金钢材,型材
75克精制轻量涂布纸770,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
75克精制轻量涂布纸870,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
饮料160389951602209816022097,轻工、医药产品,饮食品,饮料、果菜汁
饮料16041040,轻工、医药产品,饮食品,饮料、果菜汁
卷烟纸,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
16042503水,轻工、医药产品,饮食品,饮料、果菜汁
钢铁结构架,钢铁,钢铁制品,钢铁材料、结构体
饮料16051791,轻工、医药产品,饮食品,饮料、果菜汁
饮料1604109016050802,轻工、医药产品,饮食品,饮料、果菜汁
水16052365,轻工、医药产品,饮食品,饮料、果菜汁
水16050803,轻工、医药产品,饮食品,饮料、果菜汁
大蒜,农、林、牧、渔业产品,蔬菜、瓜果及籽实籽仁,蔬菜
饮料16072665,轻工、医药产品,饮食品,饮料、果菜汁
58克精制轻量涂布纸755,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
55克胶版印刷纸880x1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
水16069400,轻工、医药产品,饮食品,饮料、果菜汁
水16068880,轻工、医药产品,饮食品,饮料、果菜汁
水16074456,轻工、医药产品,饮食品,饮料、果菜汁
水16069408,轻工、医药产品,饮食品,饮料、果菜汁
70克淋膜纸1053,轻工、医药产品,纸及制品(十类),其它纸及制品
58克精制轻量涂布纸430,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
保温钢管,钢铁,钢 材、合金钢材,管材及附件
饮料16075990,轻工、医药产品,饮食品,饮料、果菜汁
60精制轻量涂布纸850,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
饮料1607729416069629,轻工、医药产品,饮食品,饮料、果菜汁
镀锌钢线,钢铁,钢 材、合金钢材,条、杆、角、网、栅、丝材
55克精制轻量涂布纸860,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
饮料16078436,轻工、医药产品,饮食品,饮料、果菜汁
光导,机械设备、电器,电子、电讯设备及器材,电子、光、磁、超声波装置的元器件、零件、附件
60克精制轻量涂布纸850,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
64克精制轻量涂布纸710x1020,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
饮料16105728,轻工、医药产品,饮食品,饮料、果菜汁
饮料16098861609886516098867,轻工、医药产品,饮食品,饮料、果菜汁
饮料16107585,轻工、医药产品,饮食品,饮料、果菜汁
饮料160693891609812716098126160695911606959016033240,轻工、医药产品,饮食品,饮料、果菜汁
饮料16105729,轻工、医药产品,饮食品,饮料、果菜汁
搅拌站设备,机械设备、电器,专用机械、设备及制品,重工业机械、工程机械及零件
收割机,机械设备、电器,农、林、牧、渔业机械,农业机械
电子零件,机械设备、电器,电子、电讯设备及器材,电子、光、磁、超声波装置的元器件、零件、附件
饮料1611670916078438,轻工、医药产品,饮食品,饮料、果菜汁
热f方,钢铁,钢 材、合金钢材,管材及附件
饮料1611785316117852,轻工、医药产品,饮食品,饮料、果菜汁
饮料161175861611724516089346,轻工、医药产品,饮食品,饮料、果菜汁
饮料16106512,轻工、医药产品,饮食品,饮料、果菜汁
饮料16106490,轻工、医药产品,饮食品,饮料、果菜汁
果冻,轻工、医药产品,饮食品,其它未列名饮食及调味食品
丁二烯橡胶,化工原料及制品,橡胶,合成橡胶
70克胶版印刷纸787X980,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
工字钢2,钢铁,钢 材、合金钢材,型材
65克胶版印刷纸780X1075,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
饮料1611728016136904,轻工、医药产品,饮食品,饮料、果菜汁
饮料16138097,轻工、医药产品,饮食品,饮料、果菜汁
饮料16138181,轻工、医药产品,饮食品,饮料、果菜汁
饮料16129823,轻工、医药产品,饮食品,饮料、果菜汁
水16136270,轻工、医药产品,饮食品,饮料、果菜汁
矿泉水16106536,轻工、医药产品,饮食品,饮料、果菜汁
饮料16146830,轻工、医药产品,饮食品,饮料、果菜汁
沙树杆,农、林、牧、渔业产品,竹、木、藤、花、草,树木
饮料16154020,轻工、医药产品,饮食品,饮料、果菜汁
矿泉水16145259,轻工、医药产品,饮食品,饮料、果菜汁
进口奶粉,轻工、医药产品,饮食品,乳制品，蜂蜜、王浆、粉
饮料16146855,轻工、医药产品,饮食品,饮料、果菜汁
饮料16161032,轻工、医药产品,饮食品,饮料、果菜汁
饮料16155274,轻工、医药产品,饮食品,饮料、果菜汁
饮料16161033,轻工、医药产品,饮食品,饮料、果菜汁
新轮胎,化工原料及制品,橡胶,橡胶制品
70克复写纸210X297,轻工、医药产品,纸及制品(十类),其它纸及制品
70克复写纸297X420,轻工、医药产品,纸及制品(十类),其它纸及制品
铝粉,有色金属,铝,铝矿砂、箔粉
饮料16168912,轻工、医药产品,饮食品,饮料、果菜汁
饮料161618971616178516163914,轻工、医药产品,饮食品,饮料、果菜汁
饮料16168910,轻工、医药产品,饮食品,饮料、果菜汁
饮料1616178116161780,轻工、医药产品,饮食品,饮料、果菜汁
70克胶版印刷纸720X1000,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克精制轻量涂布纸840,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克精制轻量涂布纸870,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
饮料16169833,轻工、医药产品,饮食品,饮料、果菜汁
饮料16161898,轻工、医药产品,饮食品,饮料、果菜汁
矿泉水16106534,轻工、医药产品,饮食品,饮料、果菜汁
饮料16169834,轻工、医药产品,饮食品,饮料、果菜汁
断路器,机械设备、电器,电力设备、电器机械及器材,输变电设备
饮料16169402,轻工、医药产品,饮食品,饮料、果菜汁
饮料16175006,轻工、医药产品,饮食品,饮料、果菜汁
饮料16174897,轻工、医药产品,饮食品,饮料、果菜汁
饮料16175566,轻工、医药产品,饮食品,饮料、果菜汁
饮料16177117,轻工、医药产品,饮食品,饮料、果菜汁
矿泉水16106537,轻工、医药产品,饮食品,饮料、果菜汁
饮料16176246,轻工、医药产品,饮食品,饮料、果菜汁
饮料16178144,轻工、医药产品,饮食品,饮料、果菜汁
饮料161830671616963416169769,轻工、医药产品,饮食品,饮料、果菜汁
58克全木浆版纸889X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
饮料16176243,轻工、医药产品,饮食品,饮料、果菜汁
饮料16177592,轻工、医药产品,饮食品,饮料、果菜汁
饮料1616425916176244,轻工、医药产品,饮食品,饮料、果菜汁
饮料161789551617895416176249,轻工、医药产品,饮食品,饮料、果菜汁
工具架,钢铁,钢铁制品,钢铁件及其它五金制品
烟煤,煤炭及制品,原煤,烟煤
饮料16192142,轻工、医药产品,饮食品,饮料、果菜汁
饮料1618514016185104,轻工、医药产品,饮食品,饮料、果菜汁
矿泉水16194394,轻工、医药产品,饮食品,饮料、果菜汁
55克胶版印刷纸865,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
55克胶版印刷纸765,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
62克精制轻量涂布纸889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
饮料161943941618505916185080,轻工、医药产品,饮食品,饮料、果菜汁
饮料1619441316194414,轻工、医药产品,饮食品,饮料、果菜汁
饮料161944121619441616169406,轻工、医药产品,饮食品,饮料、果菜汁
饮料16204214,轻工、医药产品,饮食品,饮料、果菜汁
饮料16202074,轻工、医药产品,饮食品,饮料、果菜汁
70克胶板印刷纸740,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
饮料1620463516204637,轻工、医药产品,饮食品,饮料、果菜汁
饮料16202072162020711620207016202073,轻工、医药产品,饮食品,饮料、果菜汁
纸NBZH,轻工、医药产品,纸及制品(十类),其它纸及制品
纸YGLYX,轻工、医药产品,纸及制品(十类),其它纸及制品
钢板WG,钢铁,钢 材、合金钢材,板材
饮料16221123,轻工、医药产品,饮食品,饮料、果菜汁
纸NB,轻工、医药产品,纸及制品(十类),其它纸及制品
饮料LMA,轻工、医药产品,饮食品,饮料、果菜汁
饮料1621205116212794,轻工、医药产品,饮食品,饮料、果菜汁
纸nbzz,轻工、医药产品,纸及制品(十类),其它纸及制品
大豆油,农、林、牧、渔业产品,经济作物及制品,动植物食用油料、脂肪及制品
饮料16204631,轻工、医药产品,饮食品,饮料、果菜汁
纸LQ,轻工、医药产品,纸及制品(十类),其它纸及制品
纸YG,轻工、医药产品,纸及制品(十类),其它纸及制品
钢板LCM,钢铁,钢 材、合金钢材,板材
饮料1622688716220898,轻工、医药产品,饮食品,饮料、果菜汁
液晶 材料,机械设备、电器,电子、电讯设备及器材,电子、光、磁、超声波装置的元器件、零件、附件
饮料16204634,轻工、医药产品,饮食品,饮料、果菜汁
饮料162121571621566016212793,轻工、医药产品,饮食品,饮料、果菜汁
桂花树,农、林、牧、渔业产品,竹、木、藤、花、草,树木
镀锌工字钢,钢铁,钢 材、合金钢材,型材
饮料1622686316220894,轻工、医药产品,饮食品,饮料、果菜汁
茅台酒,轻工、医药产品,饮食品,酒（白酒、啤酒、果酒类）
饮料1622919116955867,轻工、医药产品,饮食品,饮料、果菜汁
饮料16215178,轻工、医药产品,饮食品,饮料、果菜汁
花卉,农、林、牧、渔业产品,竹、木、藤、花、草,花草
16221135饮料,轻工、医药产品,饮食品,饮料、果菜汁
饮料16236255,轻工、医药产品,饮食品,饮料、果菜汁
饮料16186911,轻工、医药产品,饮食品,饮料、果菜汁
饮料1622696316230230,轻工、医药产品,饮食品,饮料、果菜汁
饮料16236295,轻工、医药产品,饮食品,饮料、果菜汁
饮料1622919416194398,轻工、医药产品,饮食品,饮料、果菜汁
饮料16230212,轻工、医药产品,饮食品,饮料、果菜汁
饮料1623625616226860,轻工、医药产品,饮食品,饮料、果菜汁
